EmployeId,Age,Gender,MaritalStatus,Turnover,Travelling,Vertical,Qualifications,EducationField,EmployeSatisfaction,JobEngagement,JobLevel,JobSatisfaction,Role,DailyBilling,HourBilling,MonthlyBilling,MonthlyRate,Work Experience,OverTime,PercentSalaryHike,Last Rating,RelationshipSatisfaction,Hours,StockOptionLevel,TrainingTimesLastYear,Work&Life,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,DistanceFromHome
63,29,M,Divorced,No,Sometimes,Research & Development,1,Medical,3,3,1,1,Laboratory Technician,368,37,7062,21533,0,No,23,4,4,80,1,2,3,3,2,2,2,2
723,23,M,Single,No,Mostly,Sales,1,Life Sciences,2,3,1,3,Sales Representative,599,97,2036,25232,1,No,14,3,4,80,0,3,3,1,0,0,0,6
1297,36,M,Single,Yes,Sometimes,Human Resources,4,Life Sciences,2,3,2,4,Manager,833,34,6052,20832,1,No,16,3,3,80,0,3,4,7,7,0,0,10
51,30,M,Divorced,No,Sometimes,Research & Development,4,Medical,3,3,3,3,Manufacturing Director,291,66,10047,7369,5,No,16,3,2,80,3,5,3,10,6,3,9,12
1498,29,M,Single,Yes,Sometimes,Sales,3,Technical Degree,4,3,1,4,Sales Representative,143,61,1398,20415,1,No,13,3,1,80,0,2,3,3,2,2,2,24
81,30,M,Divorced,No,Sometimes,Research & Development,2,Medical,2,2,1,2,Research Scientist,141,62,3056,21152,1,No,18,3,4,80,1,4,4,2,2,2,2,2
1024,25,M,Single,No,Sometimes,Research & Development,3,Life Sciences,4,1,1,3,Laboratory Technician,1370,40,2332,14251,1,No,12,3,3,80,0,2,2,4,2,2,2,2
959,49,M,Married,No,Sometimes,Research & Development,4,Life Sciences,3,3,2,1,Research Scientist,400,41,7503,15520,4,No,13,3,4,80,1,3,3,7,6,1,1,7
1920,48,F,Single,No,Sometimes,Research & Development,2,Life Sciences,3,3,2,1,Healthcare Representative,344,86,4629,12195,1,No,13,3,4,80,0,3,3,5,4,3,3,5
1639,41,M,Married,No,Mostly,Sales,3,Life Sciences,1,3,5,3,Manager,322,56,19777,18524,3,No,11,3,3,80,1,3,3,9,0,1,0,1
1563,42,M,Single,Yes,Sometimes,Research & Development,2,Medical,4,2,1,4,Laboratory Technician,1296,40,3616,3450,1,No,15,3,2,80,0,2,3,10,1,4,7,9
944,29,M,Married,No,Mostly,Research & Development,1,Life Sciences,3,3,2,4,Manufacturing Director,495,83,4168,22272,1,No,13,3,2,80,1,0,3,3,2,1,2,8
1596,27,M,Single,Yes,Sometimes,Research & Development,2,Life Sciences,4,4,2,3,Manufacturing Director,1044,81,4140,9628,0,No,14,3,4,80,0,2,3,8,7,0,7,11
