employee_id,department,sub-department,first_level_manager,second_level_manager,third_level_manager,fourth_level_manager,job_level,gender,sexual_orientation,race,age,education,location,location_city,marital_status,employment_status,salary,hire_date,term_date,tenure,term_type,term_reason,active_status
5641543884,HR,Training,7305453561,2663916319,7133405098,,Individual Contributor,Female,Heterosexual,African American,35,Master's degree,On-site,Los Angeles,Single,Full Time,51815,2018-12-17,,49,,,1
1827262027,Software,Technical Support,3520176800,1383108606,4520267703,,Individual Contributor,Male,Heterosexual,Caucasian,21,Bachelor's degree,Remote,Boston,Single,Full Time,81291,2016-10-14,,76,,,1
8031094893,HR,Benefits,27572466,6712864206,2509046989,,Individual Contributor,Female,Heterosexual,Caucasian,34,Master's degree,On-site,Dallas,Single,Full Time,80893,2017-08-15,,66,,,1
8578520737,HR,Training,8648366966,7040762887,,,Team Lead,Male,Heterosexual,Caucasian,24,Bachelor's degree,Remote,Denver,Married,Full Time,74519,2020-07-07,,30,,,1
7581210340,HR,Recruiting,260932015,5662654509,6032514284,,Individual Contributor,Female,Heterosexual,African American,29,Bachelor's degree,Remote,Charlotte,Single,Full Time,54835,2017-10-28,,63,,,1
7028929032,HR,Recruiting,5662654509,7995036334,,,Team Lead,Male,Heterosexual,Caucasian,32,Bachelor's degree,Remote,San Diego,Single,Full Time,83016,2014-03-21,2016-03-21,24,Voluntary,Found a better opportunity,0
3384533678,Marketing,Public Relations,5276190212,,,,Manager,Female,Heterosexual,Caucasian,35,Bachelor's degree,Remote,Houston,Single,Full Time,101903,2018-05-19,2020-04-24,24,Voluntary,Found a better opportunity,0
2905358479,R&D,Research,5849401328,,,,Manager,Male,Heterosexual,Caucasian,38,Bachelor's degree,Remote,Boston,Single,Full Time,87497,2013-06-19,,116,,,1
9762080016,Legal,Intellectual Property,9634501560,6534407104,3229784704,,Individual Contributor,Male,Heterosexual,Caucasian,27,Bachelor's degree,Remote,San Jose,Single,Full Time,79494,2015-12-18,,86,,,1
3286500299,Finance,Financial Planning,488461137,4820449671,,,Team Lead,Female,Heterosexual,Caucasian,42,Bachelor's degree,Remote,Fort Worth,Single,Full Time,97189,2017-07-09,,67,,,1
5406335464,Sales,Sales Operations,3433312920,,,,Manager,Male,Heterosexual,Asian,23,Master's degree,Remote,Dallas,Single,Full Time,103412,2017-12-07,2019-09-22,22,Voluntary,Career change,0
3607043217,Software,QA,4231769398,3393860506,,,Team Lead,Female,Heterosexual,Caucasian,34,Bachelor's degree,Remote,Austin,Single,Full Time,103614,2017-11-04,,63,,,1
1029586312,Finance,Financial Planning,432874762,9456183075,,,Team Lead,Male,Heterosexual,Caucasian,33,Master's degree,On-site,Los Angeles,Married,Full Time,81462,2017-11-11,,63,,,1
3085239374,Customer Service,Account Management,6680584136,,,,Manager,Female,Heterosexual,Caucasian,23,Bachelor's degree,Remote,Phoenix,Single,Full Time,76160,2014-08-30,,102,,,1
